text,label
Patient reports increased coughing and difficulty breathing at night.,2
Elevated blood pressure observed during recent check-up.,1
"Hypertension is being managed with medication, but blood pressure remains high.",1
Blood sugar levels are consistently high despite medication.,0
Blood pressure readings have been consistently above normal range.,1
"Patient reports occasional headaches and dizziness, indicative of high blood pressure.",1
"Respiratory issues linked to asthma, particularly during exercise.",2
Blood pressure readings have been consistently above normal range.,1
"Asthma symptoms worsening, especially during cold weather.",2
"Patient reports occasional headaches and dizziness, indicative of high blood pressure.",1
Blood sugar levels are consistently high despite medication.,0
Blood sugar levels are consistently high despite medication.,0
Frequent shortness of breath and wheezing reported by patient.,2
Diabetes management needs improvement due to poor glycemic control.,0
Blood pressure readings have been consistently above normal range.,1
Frequent urination and excessive thirst reported; possible diabetes symptoms.,0
Blood pressure readings have been consistently above normal range.,1
Blood sugar levels are consistently high despite medication.,0
Patient reports increased coughing and difficulty breathing at night.,2
Patient has a long history of type 2 diabetes with recent complications.,0
Medication for hypertension adjusted due to side effects.,1
"Hypertension is being managed with medication, but blood pressure remains high.",1
Asthma management plan reviewed with patient; inhaler prescribed.,2
"Hypertension is being managed with medication, but blood pressure remains high.",1
Frequent shortness of breath and wheezing reported by patient.,2
Patient has a long history of type 2 diabetes with recent complications.,0
Elevated blood pressure observed during recent check-up.,1
Frequent urination and excessive thirst reported; possible diabetes symptoms.,0
Patient has a long history of type 2 diabetes with recent complications.,0
Asthma management plan reviewed with patient; inhaler prescribed.,2
"Asthma symptoms worsening, especially during cold weather.",2
Diabetes management needs improvement due to poor glycemic control.,0
Diabetes management needs improvement due to poor glycemic control.,0
Blood pressure readings have been consistently above normal range.,1
Diabetes management needs improvement due to poor glycemic control.,0
Asthma management plan reviewed with patient; inhaler prescribed.,2
Patient has a long history of type 2 diabetes with recent complications.,0
Patient has a long history of type 2 diabetes with recent complications.,0
"Recent A1C test shows elevated levels, patient needs diabetic counseling.",0
Medication for hypertension adjusted due to side effects.,1
Frequent urination and excessive thirst reported; possible diabetes symptoms.,0
Frequent shortness of breath and wheezing reported by patient.,2
Diabetes management needs improvement due to poor glycemic control.,0
"Recent A1C test shows elevated levels, patient needs diabetic counseling.",0
"Hypertension is being managed with medication, but blood pressure remains high.",1
Patient has a long history of type 2 diabetes with recent complications.,0
"Hypertension is being managed with medication, but blood pressure remains high.",1
"Respiratory issues linked to asthma, particularly during exercise.",2
Patient reports increased coughing and difficulty breathing at night.,2
"Respiratory issues linked to asthma, particularly during exercise.",2
"Patient reports occasional headaches and dizziness, indicative of high blood pressure.",1
"Respiratory issues linked to asthma, particularly during exercise.",2
Patient has a long history of type 2 diabetes with recent complications.,0
Patient has a long history of type 2 diabetes with recent complications.,0
"Asthma symptoms worsening, especially during cold weather.",2
Elevated blood pressure observed during recent check-up.,1
"Recent A1C test shows elevated levels, patient needs diabetic counseling.",0
"Hypertension is being managed with medication, but blood pressure remains high.",1
Elevated blood pressure observed during recent check-up.,1
Frequent shortness of breath and wheezing reported by patient.,2
"Respiratory issues linked to asthma, particularly during exercise.",2
Medication for hypertension adjusted due to side effects.,1
Elevated blood pressure observed during recent check-up.,1
Blood sugar levels are consistently high despite medication.,0
"Respiratory issues linked to asthma, particularly during exercise.",2
Frequent urination and excessive thirst reported; possible diabetes symptoms.,0
Frequent shortness of breath and wheezing reported by patient.,2
Frequent shortness of breath and wheezing reported by patient.,2
Asthma management plan reviewed with patient; inhaler prescribed.,2
Asthma management plan reviewed with patient; inhaler prescribed.,2
Elevated blood pressure observed during recent check-up.,1
Diabetes management needs improvement due to poor glycemic control.,0
Patient reports increased coughing and difficulty breathing at night.,2
Medication for hypertension adjusted due to side effects.,1
Diabetes management needs improvement due to poor glycemic control.,0
Blood sugar levels are consistently high despite medication.,0
Medication for hypertension adjusted due to side effects.,1
Asthma management plan reviewed with patient; inhaler prescribed.,2
Elevated blood pressure observed during recent check-up.,1
Blood sugar levels are consistently high despite medication.,0
Diabetes management needs improvement due to poor glycemic control.,0
Asthma management plan reviewed with patient; inhaler prescribed.,2
Asthma management plan reviewed with patient; inhaler prescribed.,2
"Respiratory issues linked to asthma, particularly during exercise.",2
Diabetes management needs improvement due to poor glycemic control.,0
Patient has a long history of type 2 diabetes with recent complications.,0
Patient reports increased coughing and difficulty breathing at night.,2
"Recent A1C test shows elevated levels, patient needs diabetic counseling.",0
Medication for hypertension adjusted due to side effects.,1
Blood pressure readings have been consistently above normal range.,1
"Respiratory issues linked to asthma, particularly during exercise.",2
"Hypertension is being managed with medication, but blood pressure remains high.",1
Patient has a long history of type 2 diabetes with recent complications.,0
Diabetes management needs improvement due to poor glycemic control.,0
Diabetes management needs improvement due to poor glycemic control.,0
"Hypertension is being managed with medication, but blood pressure remains high.",1
Asthma management plan reviewed with patient; inhaler prescribed.,2
"Patient reports occasional headaches and dizziness, indicative of high blood pressure.",1
Medication for hypertension adjusted due to side effects.,1
"Asthma symptoms worsening, especially during cold weather.",2
